ensembl_gene_id,hgnc_symbol,Rank
ENSG00000165092,ALDH1A1,1
ENSG00000128918,ALDH1A2,2
ENSG00000184254,ALDH1A3,3
ENSG00000137124,ALDH1B1,4
ENSG00000144908,ALDH1L1,5
ENSG00000136010,ALDH1L2,6
ENSG00000111275,ALDH2,7
ENSG00000108602,ALDH3A1,8
ENSG00000072210,ALDH3A2,9
ENSG00000006534,ALDH3B1,10
ENSG00000132746,ALDH3B2,11
ENSG00000159423,ALDH4A1,12
ENSG00000112294,ALDH5A1,13
ENSG00000119711,ALDH6A1,14
ENSG00000164904,ALDH7A1,15
ENSG00000118514,ALDH8A1,16
ENSG00000143149,ALDH9A1,17
ENSG00000161618,ALDH16A1,18
ENSG00000059573,ALDH18A1,19
